code,name,date,weight,abbr,symbol
300017,网宿科技,2017-09-01,0.15,wskj,300017.sz
002027,分众传媒,2017-09-01,0.15,fzcm,002027.sz
002195,二三四五,2017-09-01,0.15,essw,002195.sz
002049,紫光国芯,2017-09-01,0.09,zggx,002049.sz
300251,光线传媒,2017-09-01,0.07,gxcm,300251.sz
002555,三七互娱,2017-09-01,0.08,sqhy,002555.sz
300124,汇川技术,2017-09-01,0.25,hcjs,300124.sz
300059,东方财富,2017-09-01,0.36,dfcf,300059.sz
002230,科大讯飞,2017-09-01,0.52,kdxf,002230.sz
600196,复星医药,2017-09-01,0.27,fxyy,600196.ss
002081,金 螳 螂,2017-09-01,0.16,jtl,002081.sz
600271,航天信息,2017-09-01,0.21,htxx,600271.ss
600703,三安光电,2017-09-01,0.44,sagd,600703.ss
600256,广汇能源,2017-09-01,0.13,ghny,600256.ss
601877,正泰电器,2017-09-01,0.08,ztdq,601877.ss
600208,新湖中宝,2017-09-01,0.17,xhzb,600208.ss
600959,江苏有线,2017-09-01,0.15,jsyx,600959.ss
300033,同花顺,2017-09-01,0.12,ths,300033.sz
002008,大族激光,2017-09-01,0.3,dzjg,002008.sz
002152,广电运通,2017-09-01,0.09,gdyt,002152.sz
300168,万达信息,2017-09-01,0.1,wdxx,300168.sz
300315,掌趣科技,2017-09-01,0.14,zqkj,300315.sz
002310,东方园林,2017-09-01,0.19,dfyl,002310.sz
002508,老板电器,2017-09-01,0.17,lbdq,002508.sz
002602,世纪华通,2017-09-01,0.1,sjht,002602.sz
002292,奥飞娱乐,2017-09-01,0.07,afyl,002292.sz
600570,恒生电子,2017-09-01,0.25,hsdz,600570.ss
000977,浪潮信息,2017-09-01,0.13,lcxx,000977.sz
000718,苏宁环球,2017-09-01,0.08,snhq,000718.sz
002594,比亚迪,2017-09-01,0.24,byd,002594.sz
002456,欧菲科技,2017-09-01,0.38,ofkj,002456.sz
300133,华策影视,2017-09-01,0.08,hcys,300133.sz
300027,华谊兄弟,2017-09-01,0.14,hyxd,300027.sz
600498,烽火通信,2017-09-01,0.13,fhtx,600498.ss
600588,用友网络,2017-09-01,0.15,yywl,600588.ss
600177,雅戈尔,2017-09-01,0.2,yge,600177.ss
600373,中文传媒,2017-09-01,0.12,zwcm,600373.ss
600522,中天科技,2017-09-01,0.23,ztkj,600522.ss
600804,鹏博士,2017-09-01,0.18,pbs,600804.ss
000063,中兴通讯,2017-09-01,0.52,zxtx,000063.sz
601118,海南橡胶,2017-09-01,0.1,hnxj,601118.ss
000938,紫光股份,2017-09-01,0.08,zggf,000938.sz
600718,东软集团,2017-09-01,0.14,drjt,600718.ss
