,code,name,date,weight
0,002194,武汉凡谷,2017-06-01,0.06
1,002422,科伦药业,2017-06-01,0.37
2,000681,视觉中国,2017-06-01,0.12
3,600460,士兰微,2017-06-01,0.13
4,002408,齐翔腾达,2017-06-01,0.24
5,603866,桃李面包,2017-06-01,0.04
6,300136,信维通信,2017-06-01,0.66
7,600835,上海机电,2017-06-01,0.18
8,603005,晶方科技,2017-06-01,0.09
9,002366,台海核电,2017-06-01,0.29
10,002384,东山精密,2017-06-01,0.29
11,002038,双鹭药业,2017-06-01,0.3
12,002317,众生药业,2017-06-01,0.15
13,000066,中国长城,2017-06-01,0.43
14,603025,大豪科技,2017-06-01,0.03
15,600880,博瑞传播,2017-06-01,0.13
16,601012,隆基股份,2017-06-01,0.49
17,600584,长电科技,2017-06-01,0.4
18,002690,美亚光电,2017-06-01,0.14
19,002439,启明星辰,2017-06-01,0.3
20,300122,智飞生物,2017-06-01,0.24
21,603019,中科曙光,2017-06-01,0.26
22,600776,东方通信,2017-06-01,0.09
23,600770,综艺股份,2017-06-01,0.15
24,000028,国药一致,2017-06-01,0.31
25,600171,上海贝岭,2017-06-01,0.14
26,002217,合力泰,2017-06-01,0.21
27,000636,风华高科,2017-06-01,0.13
28,600277,亿利洁能,2017-06-01,0.18
29,600006,东风汽车,2017-06-01,0.12
30,600633,浙数文化,2017-06-01,0.26
31,603766,隆鑫通用,2017-06-01,0.2
32,600521,华海药业,2017-06-01,0.34
33,000021,深科技,2017-06-01,0.17
34,600545,新疆城建,2017-06-01,0.16
35,002371,北方华创,2017-06-01,0.12
36,002161,远 望 谷,2017-06-01,0.11
37,600594,益佰制药,2017-06-01,0.26
38,600410,华胜天成,2017-06-01,0.2
39,300113,顺网科技,2017-06-01,0.29
40,000418,小天鹅Ａ,2017-06-01,0.29
41,000997,新 大 陆,2017-06-01,0.36
42,000998,隆平高科,2017-06-01,0.37
43,002640,跨境通,2017-06-01,0.22
44,600201,生物股份,2017-06-01,0.56
45,002396,星网锐捷,2017-06-01,0.15
46,000988,华工科技,2017-06-01,0.23
47,002508,老板电器,2017-06-01,0.56
48,002602,世纪华通,2017-06-01,0.28
49,603328,依顿电子,2017-06-01,0.08
50,002005,德豪润达,2017-06-01,0.12
51,002670,国盛金控,2017-06-01,0.08
52,002707,众信旅游,2017-06-01,0.13
53,002463,沪电股份,2017-06-01,0.14
54,002416,爱施德,2017-06-01,0.08
55,002261,拓维信息,2017-06-01,0.21
56,600525,长园集团,2017-06-01,0.47
57,600468,百利电气,2017-06-01,0.06
58,600158,中体产业,2017-06-01,0.26
59,600563,法拉电子,2017-06-01,0.16
60,002354,天神娱乐,2017-06-01,0.14
61,600298,安琪酵母,2017-06-01,0.26
62,600787,中储股份,2017-06-01,0.23
63,600601,方正科技,2017-06-01,0.21
64,000417,合肥百货,2017-06-01,0.12
65,600428,中远海特,2017-06-01,0.14
66,002266,浙富控股,2017-06-01,0.18
67,002093,国脉科技,2017-06-01,0.09
68,600088,中视传媒,2017-06-01,0.06
69,601000,唐山港,2017-06-01,0.32
70,300202,聚龙股份,2017-06-01,0.13
71,600466,蓝光发展,2017-06-01,0.19
72,300273,和佳股份,2017-06-01,0.19
73,002410,广联达,2017-06-01,0.31
74,300134,大富科技,2017-06-01,0.25
75,600388,龙净环保,2017-06-01,0.33
76,600967,内蒙一机,2017-06-01,0.22
77,002315,焦点科技,2017-06-01,0.08
78,600380,健康元,2017-06-01,0.18
79,002332,仙琚制药,2017-06-01,0.11
80,600094,大名城,2017-06-01,0.24
81,300026,红日药业,2017-06-01,0.29
82,000572,海马汽车,2017-06-01,0.16
83,600651,飞乐音响,2017-06-01,0.15
84,600551,时代出版,2017-06-01,0.08
85,600614,鹏起科技,2017-06-01,0.31
86,300253,卫宁健康,2017-06-01,0.22
87,600884,杉杉股份,2017-06-01,0.21
88,300166,东方国信,2017-06-01,0.17
89,002657,中科金财,2017-06-01,0.15
90,002281,光迅科技,2017-06-01,0.18
91,002399,海普瑞,2017-06-01,0.21
92,002118,紫鑫药业,2017-06-01,0.09
93,002431,棕榈股份,2017-06-01,0.25
94,601689,拓普集团,2017-06-01,0.18
95,002482,广田集团,2017-06-01,0.13
96,002019,亿帆医药,2017-06-01,0.22
97,002276,万马股份,2017-06-01,0.14
98,600825,新华传媒,2017-06-01,0.1
99,002028,思源电气,2017-06-01,0.25
100,600079,人福医药,2017-06-01,0.49
101,300147,香雪制药,2017-06-01,0.13
102,002249,大洋电机,2017-06-01,0.06
103,000596,古井贡酒,2017-06-01,0.15
104,300055,万邦达,2017-06-01,0.3
105,300287,飞利信,2017-06-01,0.18
106,600587,新华医疗,2017-06-01,0.15
107,002271,东方雨虹,2017-06-01,0.49
108,600026,中远海能,2017-06-01,0.24
109,603001,奥康国际,2017-06-01,0.08
110,600522,中天科技,2017-06-01,0.58
111,600872,中炬高新,2017-06-01,0.25
112,000158,常山北明,2017-06-01,0.21
113,002444,巨星科技,2017-06-01,0.22
114,603806,福斯特,2017-06-01,0.07
115,600751,天海投资,2017-06-01,0.2
116,002030,达安基因,2017-06-01,0.27
117,600481,双良节能,2017-06-01,0.13
118,300088,长信科技,2017-06-01,0.4
119,600673,东阳光科,2017-06-01,0.35
120,300244,迪安诊断,2017-06-01,0.26
121,000078,海王生物,2017-06-01,0.26
122,000612,焦作万方,2017-06-01,0.18
123,600981,汇鸿集团,2017-06-01,0.05
124,002368,太极股份,2017-06-01,0.15
125,002238,天威视讯,2017-06-01,0.06
126,002405,四维图新,2017-06-01,0.41
127,600433,冠豪高新,2017-06-01,0.11
128,002063,远光软件,2017-06-01,0.13
129,600073,上海梅林,2017-06-01,0.16
130,600809,山西汾酒,2017-06-01,0.22
131,600409,三友化工,2017-06-01,0.22
132,002375,亚厦股份,2017-06-01,0.19
133,600750,江中药业,2017-06-01,0.17
134,002672,东江环保,2017-06-01,0.23
135,002551,尚荣医疗,2017-06-01,0.1
136,600699,均胜电子,2017-06-01,0.31
137,300297,蓝盾股份,2017-06-01,0.13
138,600572,康恩贝,2017-06-01,0.23
139,000869,张 裕Ａ,2017-06-01,0.13
140,600536,中国软件,2017-06-01,0.15
141,300296,利亚德,2017-06-01,0.4
142,600500,中化国际,2017-06-01,0.26
143,600325,华发股份,2017-06-01,0.3
144,002308,威创股份,2017-06-01,0.17
145,000616,海航投资,2017-06-01,0.14
146,601231,环旭电子,2017-06-01,0.24
147,603377,东方时尚,2017-06-01,0.05
148,000656,金科股份,2017-06-01,0.68
149,300039,上海凯宝,2017-06-01,0.13
150,600270,外运发展,2017-06-01,0.17
151,300043,星辉娱乐,2017-06-01,0.1
152,002390,信邦制药,2017-06-01,0.23
153,603567,珍宝岛,2017-06-01,0.08
154,000528,柳 工,2017-06-01,0.17
155,600580,卧龙电气,2017-06-01,0.12
156,601929,吉视传媒,2017-06-01,0.2
157,002325,洪涛股份,2017-06-01,0.14
158,000667,美好置业,2017-06-01,0.23
159,600422,昆药集团,2017-06-01,0.16
160,600575,皖江物流,2017-06-01,0.18
161,300274,阳光电源,2017-06-01,0.19
162,600640,号百控股,2017-06-01,0.1
163,600175,美都能源,2017-06-01,0.17
164,000762,西藏矿业,2017-06-01,0.15
165,600687,刚泰控股,2017-06-01,0.21
166,600329,中新药业,2017-06-01,0.13
167,603698,航天工程,2017-06-01,0.08
168,600736,苏州高新,2017-06-01,0.13
169,600478,科力远,2017-06-01,0.24
170,600831,广电网络,2017-06-01,0.09
171,002013,中航机电,2017-06-01,0.28
172,002373,千方科技,2017-06-01,0.2
173,000919,金陵药业,2017-06-01,0.09
174,603188,亚邦股份,2017-06-01,0.16
175,600757,长江传媒,2017-06-01,0.12
176,002477,雏鹰农牧,2017-06-01,0.19
177,000501,鄂武商Ａ,2017-06-01,0.17
178,600635,大众公用,2017-06-01,0.28
179,000848,承德露露,2017-06-01,0.16
180,300001,特锐德,2017-06-01,0.17
181,600418,江淮汽车,2017-06-01,0.27
182,600537,亿晶光电,2017-06-01,0.12
183,600122,宏图高科,2017-06-01,0.29
184,600169,太原重工,2017-06-01,0.17
185,002176,江特电机,2017-06-01,0.24
186,601016,节能风电,2017-06-01,0.09
187,002581,未名医药,2017-06-01,0.16
188,000680,山推股份,2017-06-01,0.14
189,000816,智慧农业,2017-06-01,0.22
190,000897,津滨发展,2017-06-01,0.17
191,600351,亚宝药业,2017-06-01,0.11
192,600198,大唐电信,2017-06-01,0.21
193,002589,瑞康医药,2017-06-01,0.19
194,002440,闰土股份,2017-06-01,0.19
195,002025,航天电器,2017-06-01,0.18
